"from","to","value"
"gene21","gene47","0.516593756916196"
"gene2","gene4","0.48791691336624"
"gene1","gene3","0.39363666748444"
"gene1","gene2","0.3822329"
"gene1","gene4","0.362091876791105"
"gene8","gene13","0.356883522529368"
"gene1","gene5","0.299917809363554"
"gene4","gene5","0.29826403371965"
"gene2","gene5","0.281753287344522"
"gene3","gene23","0.279373354244405"
"gene2","gene3","0.271152831867315"
"gene2","gene6","0.259610536955478"
"gene1","gene6","0.258071509880563"
"gene3","gene9","0.239357819396484"
"gene3","gene4","0.237795910260466"
"gene3","gene5","0.236774178311734"
"gene10","gene14","0.218843393602267"
"gene1","gene9","0.212698747392353"
"gene38","gene46","0.209773634690015"
"gene41","gene46","0.207532136889784"
"gene16","gene46","0.204721724358205"
"gene15","gene23","0.202258101431893"
"gene3","gene6","0.200434017433411"
"gene3","gene15","0.197653531034692"
"gene4","gene6","0.19540213169633"
"gene2","gene8","0.189267094898232"
"gene1","gene17","0.184030621888981"
"gene6","gene12","0.176561337783305"
"gene22","gene46","0.170690345722817"
"gene8","gene10","0.167940961612819"
"gene2","gene7","0.165696271836109"
"gene4","gene8","0.165495513746733"
"gene24","gene40","0.163842306419643"
"gene1","gene23","0.160383754359211"
"gene1","gene15","0.159898708237395"
"gene5","gene6","0.159553399040102"
"gene2","gene9","0.157372972352212"
"gene1","gene8","0.153990678455106"
"gene2","gene13","0.153989738993958"
"gene9","gene15","0.149041251517826"
"gene4","gene33","0.148226616996405"
"gene34","gene46","0.147635666544766"
"gene16","gene29","0.143791525287373"
"gene1","gene7","0.142899216803505"
"gene6","gene9","0.139365759362233"
"gene1","gene12","0.137769249405031"
"gene2","gene12","0.137011462861854"
"gene22","gene34","0.13582368001411"
"gene2","gene10","0.134604152737536"
"gene16","gene22","0.134577100769082"
"gene10","gene13","0.134295442163999"
"gene5","gene7","0.133372619756758"
"gene17","gene23","0.133082209944618"
"gene4","gene12","0.132836020653153"
"gene29","gene46","0.131179825133807"
"gene16","gene41","0.130928195218284"
"gene4","gene7","0.13062962450385"
"gene38","gene48","0.128932478159407"
"gene46","gene49","0.128129091454457"
"gene6","gene7","0.127749953499561"
"gene3","gene17","0.127726885793437"
"gene16","gene49","0.124996774321804"
"gene34","gene38","0.124623487780246"
"gene1","gene33","0.123480002034851"
"gene1","gene10","0.122613870238333"
"gene17","gene19","0.122062902409445"
"gene5","gene9","0.119037749697573"
"gene22","gene49","0.118198635304593"
"gene46","gene48","0.117581110363234"
"gene38","gene41","0.116826834439796"
"gene22","gene41","0.116383900927528"
"gene5","gene23","0.115364755448041"
"gene4","gene13","0.115187332246664"
"gene15","gene17","0.114460561774849"
"gene1","gene19","0.114439971972602"
"gene2","gene33","0.113372415463955"
"gene3","gene12","0.112354991641483"
"gene4","gene9","0.112324025680246"
"gene29","gene45","0.111358712534742"
"gene21","gene36","0.11119527583127"
"gene1","gene13","0.111160750848092"
"gene6","gene15","0.11088307327135"
"gene5","gene8","0.110605843518116"
"gene5","gene13","0.110358986069414"
"gene6","gene23","0.109191078082107"
"gene3","gene8","0.108755634849812"
"gene9","gene23","0.108712882403943"
"gene34","gene49","0.108545446116541"
"gene6","gene17","0.10789989840551"
"gene22","gene40","0.106136792691851"
"gene42","gene46","0.105616382995148"
"gene36","gene47","0.105395442464268"
"gene5","gene33","0.104906179088448"
"gene22","gene24","0.104093394840115"
"gene5","gene15","0.102904208906969"
"gene45","gene49","0.101192747086175"
"gene26","gene29","0.100873857165104"
"gene10","gene19","0.100720854400791"
"gene16","gene21","0.100615710390375"
"gene9","gene12","0.100424532746445"
"gene6","gene11","0.0993445503495886"
"gene10","gene12","0.0992143801258701"
"gene18","gene49","0.0990471696875938"
"gene11","gene19","0.0989433056732037"
"gene1","gene30","0.098822790239361"
"gene7","gene13","0.098530951206687"
"gene27","gene49","0.0984099734223689"
"gene4","gene17","0.0979926203922566"
"gene2","gene23","0.0975198393403994"
"gene1","gene11","0.0947219580033372"
"gene24","gene46","0.094243469182228"
"gene3","gene7","0.0941360461905496"
"gene4","gene10","0.0940642657294056"
"gene29","gene49","0.09383353398973"
"gene16","gene27","0.0936978957374369"
"gene21","gene27","0.0934495565958607"
"gene3","gene10","0.0925291671981292"
"gene27","gene29","0.091834572852445"
"gene21","gene22","0.0913802880999409"
"gene29","gene48","0.0910046064363297"
"gene18","gene29","0.0909205179538006"
"gene47","gene49","0.090630007250168"
"gene3","gene13","0.0901332477759891"
"gene31","gene46","0.0901087107924861"
"gene24","gene28","0.0892781621707815"
"gene29","gene41","0.0892208646374761"
"gene4","gene15","0.0890866369561996"
"gene5","gene12","0.0890832534158669"
"gene4","gene23","0.0890381547800081"
"gene3","gene33","0.0889736296712529"
"gene2","gene17","0.0887404168338462"
"gene45","gene46","0.0887335765396409"
"gene21","gene49","0.0881516438670786"
"gene9","gene10","0.0880871522415184"
"gene25","gene26","0.0877102534638093"
"gene5","gene17","0.0868451056372065"
"gene5","gene19","0.0865125999357431"
"gene29","gene38","0.0862770843518001"
"gene20","gene40","0.0862041267857199"
"gene16","gene48","0.0855173928988006"
"gene6","gene8","0.0850940974717901"
"gene16","gene47","0.0850881115717817"
"gene16","gene18","0.0841632753781546"
"gene4","gene19","0.0838080802795726"
"gene10","gene17","0.0835927005661179"
"gene3","gene11","0.0828424295145657"
"gene2","gene16","0.0821646988010448"
"gene4","gene11","0.0817338276695988"
"gene11","gene23","0.0814380643054557"
"gene2","gene15","0.0813335245996937"
"gene27","gene45","0.0808147181279189"
"gene21","gene29","0.0807807060854611"
"gene22","gene38","0.0805686244285455"
"gene7","gene10","0.0804502770471996"
"gene38","gene49","0.0803365905135184"
"gene24","gene29","0.0802483221002997"
"gene11","gene17","0.0801646235628633"
"gene25","gene45","0.0800479358167553"
"gene2","gene11","0.0795696106248927"
"gene2","gene14","0.079406229493578"
"gene4","gene30","0.0789585961008958"
"gene20","gene28","0.0789198881625012"
"gene16","gene24","0.0788521888111358"
"gene7","gene8","0.078596700936314"
"gene19","gene23","0.0784825704851773"
"gene5","gene10","0.0782261939280791"
"gene27","gene47","0.0772845145107086"
"gene20","gene24","0.0768191687687756"
"gene11","gene12","0.0765385800325691"
"gene4","gene45","0.0761666966477029"
"gene6","gene10","0.0761256534125404"
"gene33","gene45","0.0756406136059806"
"gene22","gene47","0.0756281740001058"
"gene34","gene48","0.0752215602895814"
"gene29","gene37","0.0751368462830044"
"gene41","gene45","0.0750879312296142"
"gene25","gene29","0.0748489533542718"
"gene16","gene45","0.0745215455476691"
"gene16","gene31","0.0742978308870434"
"gene6","gene13","0.0742687002759096"
"gene16","gene25","0.0742292051043715"
"gene7","gene15","0.073967823655748"
"gene9","gene14","0.0737600279686025"
"gene16","gene34","0.0734911748474701"
"gene1","gene14","0.0734004361767245"
"gene32","gene49","0.0733626085624243"
"gene9","gene17","0.0732977159354301"
"gene27","gene34","0.0728960335161178"
"gene21","gene45","0.0728582327490395"
"gene5","gene30","0.0728143011180648"
"gene31","gene41","0.0726504698474748"
"gene3","gene19","0.0724733751762864"
"gene16","gene42","0.0723969788011988"
"gene5","gene16","0.0722911319287732"
"gene44","gene45","0.071985925652387"
"gene22","gene31","0.0719272697168262"
"gene8","gene11","0.0718359249080215"
"gene28","gene40","0.0713735923646441"
"gene27","gene46","0.0713641647141117"
"gene2","gene19","0.0712106551571615"
"gene41","gene48","0.0711309929369288"
"gene5","gene11","0.0708167805165305"
"gene18","gene47","0.0706369418483007"
"gene41","gene49","0.070014391624746"
"gene8","gene19","0.0696719601132386"
"gene12","gene15","0.0693298308394452"
"gene8","gene12","0.0692560356166552"
"gene11","gene15","0.069096476944668"
"gene8","gene17","0.069092828169763"
"gene31","gene36","0.0690428924810511"
"gene26","gene27","0.0689298960046968"
"gene15","gene19","0.0682552027140616"
"gene29","gene32","0.0681424777951637"
"gene4","gene16","0.0678228537777741"
"gene3","gene14","0.067790219926069"
"gene5","gene45","0.0676595637375127"
"gene22","gene29","0.0676202916960113"
"gene7","gene9","0.0671560405759204"
"gene29","gene47","0.0670476294831739"
