"V1","V2"
"gene21","gene47"
"gene2","gene4"
"gene1","gene3"
"gene2","gene1"
"gene8","gene13"
"gene1","gene5"
"gene4","gene5"
"gene3","gene23"
"gene2","gene3"
"gene2","gene6"
"gene3","gene9"
"gene4","gene3"
"gene10","gene14"
"gene38","gene46"
"gene46","gene41"
"gene46","gene16"
"gene23","gene15"
"gene3","gene6"
"gene3","gene15"
"gene2","gene8"
"gene1","gene17"
"gene6","gene12"
"gene46","gene22"
"gene8","gene10"
"gene2","gene7"
"gene4","gene8"
"gene24","gene40"
"gene5","gene6"
"gene9","gene15"
"gene4","gene33"
"gene46","gene34"
"gene16","gene29"
"gene6","gene9"
"gene22","gene34"
"gene16","gene22"
"gene13","gene10"
"gene5","gene7"
"gene23","gene17"
"gene46","gene29"
"gene41","gene16"
"gene38","gene48"
"gene46","gene49"
"gene6","gene7"
"gene3","gene17"
"gene38","gene34"
"gene17","gene19"
"gene46","gene48"
"gene38","gene41"
"gene15","gene17"
"gene29","gene45"
"gene21","gene36"
"gene22","gene40"
"gene46","gene42"
"gene47","gene36"
"gene5","gene33"
"gene22","gene24"
"gene49","gene45"
"gene29","gene26"
"gene10","gene19"
"gene21","gene16"
"gene9","gene12"
"gene6","gene11"
"gene10","gene12"
"gene49","gene18"
"gene19","gene11"
"gene1","gene30"
"gene13","gene7"
"gene49","gene27"
"gene46","gene24"
"gene16","gene27"
"gene21","gene27"
"gene29","gene27"
"gene21","gene22"
"gene29","gene18"
"gene47","gene49"
"gene46","gene31"
"gene24","gene28"
"gene41","gene29"
"gene46","gene45"
"gene9","gene10"
"gene26","gene25"
"gene38","gene29"
"gene40","gene20"
"gene8","gene6"
"gene16","gene18"
"gene10","gene17"
"gene2","gene16"
"gene23","gene11"
"gene10","gene7"
"gene24","gene29"
"gene17","gene11"
"gene28","gene20"
"gene23","gene19"
"gene24","gene20"
"gene12","gene11"
"gene4","gene45"
"gene33","gene45"
"gene29","gene37"
"gene41","gene45"
"gene16","gene31"
"gene16","gene25"
"gene15","gene7"
"gene49","gene32"
"gene34","gene27"
"gene41","gene31"
"gene16","gene42"
"gene5","gene16"
"gene45","gene44"
"gene22","gene31"
"gene8","gene11"
"gene40","gene28"
"gene47","gene18"
"gene15","gene12"
"gene36","gene31"
"gene26","gene27"
"gene29","gene32"
"gene33","gene30"
"gene33","gene11"
"gene24","gene43"
"gene31","gene35"
"gene46","gene37"
"gene29","gene31"
"gene13","gene35"
"gene10","gene40"
"gene26","gene43"
"gene29","gene42"
"gene45","gene32"
"gene40","gene36"
"gene8","gene31"
"gene17","gene33"
"gene48","gene49"
"gene34","gene29"
"gene24","gene18"
"gene18","gene27"
"gene13","gene11"
"gene46","gene40"
"gene22","gene27"
"gene3","gene39"
"gene40","gene43"
"gene10","gene11"
"gene45","gene37"
"gene13","gene33"
"gene22","gene20"
"gene17","gene32"
"gene10","gene30"
"gene33","gene26"
"gene23","gene33"
"gene13","gene22"
"gene5","gene39"
"gene13","gene16"
"gene4","gene20"
"gene13","gene19"
"gene41","gene44"
"gene13","gene39"
"gene16","gene20"
"gene47","gene43"
"gene19","gene32"
"gene19","gene27"
"gene19","gene26"
"gene43","gene35"
"gene26","gene28"
"gene41","gene32"
"gene24","gene27"
"gene41","gene40"
"gene33","gene28"
"gene26","gene20"
"gene40","gene34"
"gene40","gene35"
"gene24","gene19"
"gene19","gene20"
"gene24","gene26"
"gene31","gene32"
"gene30","gene35"
"gene16","gene19"
"gene38","gene32"
"gene26","gene30"
"gene20","pheno2"
"gene34","gene36"
"gene22","pheno2"
"gene23","gene38"
"gene29","gene28"
"gene46","gene43"
"gene33","gene36"
"gene47","pheno2"
"gene40","gene39"
"gene23","gene28"
"gene47","pheno1"
"gene34","gene39"
"gene34","pheno3"
"gene4","gene1"
"gene2","gene5"
"gene1","gene6"
"gene3","gene5"
"gene1","gene9"
"gene1","gene15"
"gene2","gene9"
"gene1","gene8"
"gene2","gene13"
"gene1","gene7"
"gene2","gene12"
"gene2","gene10"
"gene4","gene12"
"gene16","gene49"
"gene1","gene33"
"gene1","gene10"
"gene5","gene9"
"gene22","gene49"
"gene41","gene22"
"gene1","gene19"
"gene3","gene12"
"gene6","gene15"
"gene13","gene5"
"gene34","gene49"
"gene1","gene11"
"gene29","gene49"
"gene3","gene10"
"gene29","gene48"
"gene5","gene19"
"gene16","gene48"
"gene4","gene19"
"gene3","gene11"
"gene4","gene11"
"gene45","gene27"
"gene21","gene29"
"gene38","gene49"
"gene45","gene25"
"gene2","gene14"
"gene16","gene24"
"gene34","gene48"
"gene29","gene25"
"gene16","gene45"
"gene9","gene14"
"gene1","gene14"
"gene21","gene45"
"gene3","gene19"
"gene46","gene27"
"gene41","gene48"
"gene5","gene11"
"gene8","gene19"
"gene15","gene11"
"gene15","gene19"
"gene3","gene14"
"gene5","gene45"
"gene22","gene29"
"gene16","gene26"
"gene45","gene18"
"gene41","gene24"
"gene27","gene25"
"gene8","gene14"
"gene45","gene26"
"gene4","gene29"
"gene8","gene23"
"gene16","gene32"
"gene5","gene29"
"gene4","gene26"
"gene29","gene36"
"gene5","gene32"
"gene21","gene46"
"gene26","gene32"
"gene7","gene11"
"gene24","gene31"
"gene40","gene31"
"gene16","gene37"
"gene47","gene25"
"gene25","gene32"
"gene23","gene7"
"gene20","gene43"
"gene16","gene40"
"gene5","gene27"
"gene36","gene43"
"gene46","gene18"
"gene2","gene48"
"gene4","gene31"
"gene5","gene31"
"gene4","gene27"
"gene36","gene27"
"gene4","gene46"
"gene24","gene48"
"gene34","gene18"
"gene18","gene32"
"gene10","gene35"
"gene27","gene32"
"gene21","gene38"
"gene42","gene31"
"gene22","gene18"
"gene21","gene42"
"gene4","gene49"
"gene11","gene32"
"gene8","gene43"
"gene4","gene18"
"gene24","gene36"
"gene29","gene43"
"gene29","gene35"
"gene10","gene48"
"gene4","gene35"
"gene10","gene43"
"gene38","gene18"
"gene13","gene48"
"gene31","gene25"
"gene7","gene35"
"gene12","gene30"
"gene46","gene32"
"gene42","gene18"
"gene14","gene19"
"gene46","gene26"
"gene10","gene20"
"gene49","gene44"
"gene29","gene11"
"gene38","gene26"
"gene28","gene43"
"gene16","gene43"
"gene4","gene28"
"gene4","gene32"
"gene48","gene26"
"gene13","gene20"
"gene19","gene35"
"gene6","gene26"
"gene13","gene24"
"gene31","gene20"
"gene16","gene11"
"gene33","gene25"
"gene22","gene44"
"gene6","gene35"
"gene21","gene13"
"gene26","gene11"
"gene16","gene33"
"gene40","gene48"
"gene29","gene44"
"gene26","gene18"
"gene19","gene31"
"gene4","gene34"
"gene17","gene26"
"gene21","gene32"
"gene18","gene43"
"gene1","gene24"
"gene47","gene6"
"gene4","gene38"
"gene10","gene26"
"gene42","gene35"
"gene22","gene35"
"gene25","gene44"
"gene16","gene28"
"gene20","gene44"
"gene20","gene35"
"gene34","gene26"
"gene42","gene32"
"gene19","gene43"
"gene14","gene49"
"gene5","gene36"
"gene4","gene22"
"gene47","gene35"
"gene31","gene43"
"gene21","gene26"
"gene21","gene28"
"gene39","pheno1"
"gene14","pheno1"
"gene23","gene32"
